"n_models","resample_alpha","max_depth","eff_trees","nrounds","lambda","colsample_bytree","l1_alpha","fold","nt","oof_mae_pls","oof_mae_xgb","in_fold_mae_pls","in_fold_mae_xgb"
20,0.1,7,200,500,0,1,0,1,5,0.392307692307692,0.472568058199607,0.121212121212121,0.272628066091368
20,0.1,7,200,500,1,1,0,1,5,0.392307692307692,0.469504488202242,0.127946127946128,0.27514188771296
20,0.1,7,200,500,0,0.5,0,1,5,0.3875,0.471372454705147,0.12962962962963,0.275203521627827
20,0.1,7,200,500,1,0.5,0,1,5,0.393269230769231,0.472627763622082,0.127465127465128,0.274743008613586
20,0.1,3,200,500,0,1,0,1,5,0.393269230769231,0.477272808345465,0.124098124098124,0.275216851190285
20,0.1,3,200,500,1,1,0,1,5,0.401923076923077,0.473691096947743,0.125541125541126,0.276077324401421
20,0.1,3,200,500,0,0.5,0,1,5,0.396153846153846,0.471776923101682,0.133958633958634,0.280506933027876
20,0.1,3,200,500,1,0.5,0,1,5,0.411538461538462,0.477068985116023,0.125781625781626,0.277886658929872
20,0.1,7,50,500,0,1,0,1,5,0.403846153846154,0.487471204182276,0.188311688311688,0.329381854594929
20,0.1,7,50,500,1,1,0,1,5,0.395192307692308,0.483018803527722,0.184463684463685,0.328136212694467
20,0.1,7,50,500,0,0.5,0,1,5,0.4,0.486713625364579,0.184944684944685,0.331074066532524
20,0.1,7,50,500,1,0.5,0,1,5,0.407692307692308,0.482682570883861,0.198172198172198,0.330461154226617
20,0.1,3,50,500,0,1,0,1,5,0.4,0.482276149632839,0.183982683982684,0.327721624348013
20,0.1,3,50,500,1,1,0,1,5,0.404807692307692,0.486047031088517,0.194324194324194,0.329945193499886
20,0.1,3,50,500,0,0.5,0,1,5,0.404807692307692,0.485972630771307,0.18975468975469,0.331435604305322
20,0.1,3,50,500,1,0.5,0,1,5,0.397115384615385,0.482735930692691,0.191919191919192,0.331680447158474
20,0.2,7,200,500,0,1,0,1,5,0.385576923076923,0.455673321462595,0.0389610389610388,0.184259231263138
20,0.2,7,200,500,1,1,0,1,5,0.373076923076923,0.451993416788486,0.0379990379990381,0.184384526238526
20,0.2,7,200,500,0,0.5,0,1,5,0.369230769230769,0.451707745996805,0.0384800384800384,0.183693003442323
20,0.2,7,200,500,1,0.5,0,1,5,0.395192307692308,0.454605880482839,0.0387205387205387,0.18455600256585
20,0.2,3,200,500,0,1,0,1,5,0.3875,0.454094300797352,0.0401635401635401,0.186517288542642
20,0.2,3,200,500,1,1,0,1,5,0.382692307692308,0.454345162889132,0.0367965367965368,0.184323486288675
20,0.2,3,200,500,0,0.5,0,1,5,0.3875,0.457700766072823,0.0401635401635401,0.185679807423284
20,0.2,3,200,500,1,0.5,0,1,5,0.377884615384616,0.455600891778102,0.0372775372775373,0.183502270327903
20,0.2,7,50,500,0,1,0,1,5,0.384615384615384,0.471874521065217,0.110870610870611,0.264755410113663
20,0.2,7,50,500,1,1,0,1,5,0.385576923076923,0.471171415551351,0.113035113035113,0.262813955969739
20,0.2,7,50,500,0,0.5,0,1,5,0.384615384615384,0.468250674926318,0.115199615199615,0.266073644843567
20,0.2,7,50,500,1,0.5,0,1,5,0.379807692307692,0.46593617396859,0.116161616161616,0.264457312649176
20,0.2,3,50,500,0,1,0,1,5,0.393269230769231,0.469031056051071,0.111111111111111,0.263564130653837
20,0.2,3,50,500,1,1,0,1,5,0.388461538461538,0.471450232989513,0.113516113516114,0.265364787201861
20,0.2,3,50,500,0,0.5,0,1,5,0.392307692307692,0.467668676181481,0.116883116883117,0.265304137385769
20,0.2,3,50,500,1,0.5,0,1,5,0.384615384615384,0.469169813073598,0.114478114478115,0.265180456443381
20,1,7,200,500,0,1,0,1,5,Inf,0.427776170797073,Inf,0.0365331778851995
20,1,7,200,500,1,1,0,1,5,Inf,0.429004436903275,Inf,0.0367727911460853
20,1,7,200,500,0,0.5,0,1,5,Inf,0.429532923709888,Inf,0.0357994882374672
20,1,7,200,500,1,0.5,0,1,5,Inf,0.432182952624101,Inf,0.0365788121244092
20,1,3,200,500,0,1,0,1,5,Inf,0.427962759698813,Inf,0.0370573822869424
20,1,3,200,500,1,1,0,1,5,Inf,0.431402073617165,Inf,0.0362673175656033
20,1,3,200,500,0,0.5,0,1,5,Inf,0.426909484336009,Inf,0.0361258890664365
20,1,3,200,500,1,0.5,0,1,5,Inf,0.427906170407167,Inf,0.037484583756051
20,1,7,50,500,0,1,0,1,5,0.393269230769231,0.447656863939304,0.0156325156325157,0.147813487872876
20,1,7,50,500,1,1,0,1,5,0.380769230769231,0.446464112389546,0.0158730158730159,0.148688937234099
20,1,7,50,500,0,0.5,0,1,5,0.397115384615385,0.446663888463607,0.0165945165945166,0.148361261605414
20,1,7,50,500,1,0.5,0,1,5,0.3875,0.447934301873812,0.0223665223665224,0.149912923428231
20,1,3,50,500,0,1,0,1,5,0.381730769230769,0.448730356819355,0.0209235209235209,0.149844580355489
20,1,3,50,500,1,1,0,1,5,Inf,0.450266299362366,Inf,0.149367985320011
20,1,3,50,500,0,0.5,0,1,5,0.394230769230769,0.449341887648289,0.0206830206830207,0.150938037397656
20,1,3,50,500,1,0.5,0,1,5,Inf,0.447488856991896,Inf,0.148054000137516
20,0.1,7,200,500,0,1,0,2,5,0.407692307692308,0.480782870512742,0.126984126984127,0.275195086570013
20,0.1,7,200,500,1,1,0,2,5,0.403846153846154,0.480949660275991,0.132034632034632,0.27547826048501
20,0.1,7,200,500,0,0.5,0,2,5,0.417307692307692,0.482712627741007,0.126503126503126,0.276574179580316
20,0.1,7,200,500,1,0.5,0,2,5,0.425,0.486079879506276,0.134920634920635,0.279100952239034
20,0.1,3,200,500,0,1,0,2,5,0.427884615384615,0.486690719803939,0.131313131313131,0.276838799647381
20,0.1,3,200,500,1,1,0,2,5,0.417307692307692,0.479425563067198,0.134439634439635,0.275363714119286
20,0.1,3,200,500,0,0.5,0,2,5,0.419230769230769,0.486756558338037,0.128667628667629,0.274178430443776
20,0.1,3,200,500,1,0.5,0,2,5,0.419230769230769,0.481384670711481,0.13059163059163,0.274242686150222
20,0.1,7,50,500,0,1,0,2,5,0.414423076923077,0.488942729590031,0.191919191919192,0.329264838650228
20,0.1,7,50,500,1,1,0,2,5,0.427884615384615,0.49439222790874,0.201779701779702,0.332498875058231
20,0.1,7,50,500,0,0.5,0,2,5,0.414423076923077,0.493451607055389,0.1998556998557,0.332318596951144
20,0.1,7,50,500,1,0.5,0,2,5,0.432692307692308,0.491751902986031,0.205387205387205,0.333040845299524
20,0.1,3,50,500,0,1,0,2,5,0.423076923076923,0.491348416358232,0.196488696488696,0.332031624566024
20,0.1,3,50,500,1,1,0,2,5,0.410576923076923,0.483951530284607,0.192881192881193,0.329971960839198
20,0.1,3,50,500,0,0.5,0,2,5,0.436538461538462,0.496067409824866,0.192159692159692,0.330834810976916
20,0.1,3,50,500,1,0.5,0,2,5,0.431730769230769,0.488725089178636,0.200817700817701,0.328899954344689
20,0.2,7,200,500,0,1,0,2,5,0.4,0.462414638950275,0.0377585377585377,0.186492069751497
20,0.2,7,200,500,1,1,0,2,5,0.408653846153846,0.462693089189438,0.040885040885041,0.184549506935378
20,0.2,7,200,500,0,0.5,0,2,5,0.409615384615384,0.463325206878094,0.0413660413660414,0.184980030613716
20,0.2,7,200,500,1,0.5,0,2,5,0.401923076923077,0.462431956988115,0.0406445406445407,0.186521743535422
20,0.2,3,200,500,0,1,0,2,5,0.390384615384615,0.458587487362898,0.0377585377585377,0.184604606782088
20,0.2,3,200,500,1,1,0,2,5,0.399038461538462,0.463753539014321,0.040885040885041,0.186514625875006
20,0.2,3,200,500,0,0.5,0,2,5,0.404807692307693,0.465680415550104,0.0399230399230397,0.185735647801082
20,0.2,3,200,500,1,0.5,0,2,5,0.391346153846154,0.457856362141096,0.0411255411255411,0.184434210425561
20,0.2,7,50,500,0,1,0,2,5,0.406730769230769,0.475011533750938,0.111832611832612,0.261604851633382
20,0.2,7,50,500,1,1,0,2,5,0.417307692307692,0.480464874815482,0.117604617604618,0.265445138767053
20,0.2,7,50,500,0,0.5,0,2,5,0.414423076923077,0.476625445737288,0.116642616642617,0.265104594498428
20,0.2,7,50,500,1,0.5,0,2,5,0.400961538461539,0.480292576631674,0.115680615680616,0.265548631177607
